Semana (segunda),Visitas (first_visit),Quiz iniciados (quiz_started),Quiz completos (quiz_completed),Cliques COMPRAR (click_afiliado),Emails capturados (email_capturado),% inicia quiz,% completa quiz,% clica p/ loja,Postagens na semana,Observações (o que postou / o que bombou)
Exemplo 2026-07-14,1000,220,150,45,30,"22,0%","68,2%","30,0%",7,video pisada pronada bombou
2026-06-22,16,17,16,0,1,"106,2%","94,1%","0,0%",,
2026-06-29,180,10,4,0,0,"5,6%","40,0%","0,0%",,
2026-07-06,11,9,4,0,0,"81,8%","44,4%","0,0%",,
2026-07-13,13,3,3,0,0,"23,1%","100,0%","0,0%",,
2026-07-20,13,4,0,0,0,"30,8%","0,0%",,,
2026-07-27,2,3,2,0,0,"150,0%","66,7%","0,0%",,
2026-08-03,6,1,0,0,0,"16,7%","0,0%",,,
2026-08-10,5,0,0,0,0,"0,0%",,,,
2026-08-17,7,0,0,0,0,"0,0%",,,,
2026-08-24,9,2,1,0,0,"22,2%","50,0%","0,0%",,
2026-08-31,6,1,1,0,0,"16,7%","100,0%","0,0%",,
2026-09-07,3,0,0,0,0,"0,0%",,,,
2026-09-14,1,0,0,0,0,"0,0%",,,,
